"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"MIC019","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=MIC019","015-0437-04/002-0044-00/015-0437-07","CAPACITOR","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #MIC019
OEM Part #015-0437-04/002-0044-00/015-0437-07
CAPACITOR
1.81"" dia. x 4.38"" lg.
Dual .25"" tabs
124-149 µf; 250VAC, 60 Hz.
See Notes below for Serial #'s this part fits.
Fits: Motor
Model(s) This Part Fits: 105, 106, 107, 111, 112, 113, 114, 115, 116, 117, 119, 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89, 305, 307, 311, 317, 318, 319, Evolution 75, Evolution 75 (-002); Serial#: DF, Evolution 75 (-003); Serial#: DF, Evolution 75 (-004); Serial#: EM, Evolution 75 (-005); Serial#: EN, Evolution 75 (-006); Serial#: DZ, Evolution 75 (-007); Serial#: EY, Evolution 75 (-008); Serial#: EZ, Evolution 75 (-015); Serial#: KK, Evolution 75 (-018);Serial#: KL
Catalog Page(s): 11-201, 11-305
Part Description Updated: 9/4/2015","1.81"" dia. x 4.38"" lg.
Dual .25"" tabs
124-149 µf; 250VAC, 60 Hz.
See Notes below for Serial #'s this part fits.","http://www.rpiparts.com/pimages/MIC019.GIF","Notes: CHECK SERIAL NUMBERS HERE:
Fits Model Evolution 75 (-002); Serial#: DF, Evolution 75 (-003); Serial#: DF, Evolution 75 (-004); Serial#: EM, Evolution 75 (-005); Serial#: EN, Evolution 75 (-006); Serial#: DZ, Evolution 75 (-007); Serial#: EY, Evolution 75 (-008); Serial#: EZ, Evolution 75 (-015); Serial#: KK, Evolution 75 (-018);Serial#: KL
Fits Model 105: From Serial #19053, G, H, CF, CG.
Fits Model 106: From Serial #37941 thru present and J1000 thru J1475.
Fits Model 111: From Serial #37420 thru K5009; BX.
Fits Models 107, 115, 116, 311, 317, 318 & 319: Fits All Serial #'s.
Fits Models 112, 113 & 114: No Serial # info available- visually check value before ordering.
Fits Model 117:From Serial # AJ1000 thru AJ3089, FE.
Fits Model 119:From Serial # AN1000 thru AN3026: BY, DF, EM, EY, HK.
Fits Model 305:From Serial # GW1000 thru GW1160; GX1000 thru GX1043; JJ1000 thru JJ1129; JK1000 thru JK1004.
Fits Model 307:From Serial # GY1000 thru GY1198; GZ1000 thru GZ1022; HA1000 thru HA1083; HC1000 thru HC1015; JL1000 thru JL1070; JM1000 thru JM1021.
Please see the Safety Data Sheet for this part. (Adobe PDF)"
"PCB134","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=PCB134","017985 / 117327","ELECTRICAL TERMINAL BUSHING","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #PCB134
OEM Part #017985 / 117327
ELECTRICAL TERMINAL BUSHING
3 per package
1/4"" Tabs
Mounting Hole: 11/16"" dia.
Mounts Thermal Fuse
Fits: Firewall / Switch Plate
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89, Majestic V-8080, OCM, OCR, Peri Pro, Peri Pro II, Peri Pro III, Regency V-8020, V-8000, Verniclave V-2000A, VR-816
Catalog Page(s): 4-604, 10-603, 10-604, 11-200, 10-1101, 10-1212, 10-1801, 10-702, 10-903
Part Description Updated: 1/17/2012","3 per package
1/4"" Tabs
Mounting Hole: 11/16"" dia.
Mounts Thermal Fuse","http://www.rpiparts.com/pimages/PCB134.GIF","Notes: Fits Model Peri Pro® Serial #20480 and above."
"PCN136","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=PCN136","004076","SPEEDNUT","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #PCN136
OEM Part #004076
SPEEDNUT
10 per package
""U"" type #10-24 thread and #10 Type A thread
Use to mount top cover to rear panel and side panels (M9 & M11)
See Notes below for models this part fits
Fits: Chassis
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89, 650, 660, 666x, 7, 777, 999 Series, All Porcelain Ovens, Delta 10"" (AF), Delta 8"" (AE), Delta Q10, Delta Q8, Delta XL10, Delta XL8, F, GN, M11, M11D, M7, M9, M9D, Magnaclave, Majestic V-8080, Mark II, Mark III, Mark IV, OCM, OCR, OCR+, Regency V-8020, Sentry, V-8000, Validator 10, Validator 8, Validator Plus 10, Validator Plus 8, Verniclave V-2000A, VR-816
Catalog Page(s): 4-900, 10-603, 10-604, 10-903, 10-1005, 10-1021, 10-1101, 10-1201, 10-1205, 10-1208, 10-1218, 10-1224, 10-1230, 10-1400, 10-1801, 11-200
Part Description Updated: 8/13/2014","10 per package
""U"" type #10-24 thread and #10 Type A thread
Use to mount top cover to rear panel and side panels (M9 & M11)
See Notes below for models this part fits","http://www.rpiparts.com/pimages/PCN136.GIF","Notes:
Midmark® • Ritter® Models This Part Fits:
M9-001 thru -019
M9-020 thru -022
M9D-001 thru -019
M9D-020 thru -022
M11-001 thru -019
M11-020 thru -022
M11D-001 thru -019
M11D-020 thru -022"
"RPO331","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=RPO331","54963","O-RING","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #RPO331
Old RPI Part #HAO008
OEM Part #54963
Industry Part #AS568-011
O-RING
6 per package
Material: Neoprene, Duro: 70
.301"" ID x .441"" OD x .070"" C/S
Fits: Cylinders
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200, 6-501, 6-502
Part Description Updated: 11/21/2011","6 per package
Material: Neoprene, Duro: 70
.301"" ID x .441"" OD x .070"" C/S","http://www.rpiparts.com/pimages/RPO331.GIF",""
"HAA001","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAA001","(OEM Part # Not Available)","MOTOR AND PUMP ASSEMBLY","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAA001
OEM Part # (OEM Part # Not Available)
MOTOR AND PUMP ASSEMBLY
Two Capacitors (RPI Part #MIC019) are required when replacing old style brush motor with this motor and pump assembly
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 6/25/2014","Two Capacitors (RPI Part #MIC019) are required when replacing old style brush motor with this motor and pump assembly","http://www.rpiparts.com/pimages/HAA001.GIF",""
"HAB009","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAB009","(OEM Part # Not Available)","BOLT","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAB009
OEM Part # (OEM Part # Not Available)
BOLT
6 per package
1/4-20 x 7/8"" lg.
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package
1/4-20 x 7/8"" lg.","http://www.rpiparts.com/pimages/HAB009.GIF",""
"HAC002","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAC002","(OEM Part # Not Available)","REPLACED BY MIC019","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAC002
OEM Part # (OEM Part # Not Available)
CAPACITOR
220-250 VAC, 124-149 µf
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 6/25/2014","220-250 VAC, 124-149 µf","http://www.rpiparts.com/pimages/HAC002.GIF",""
"HAC003","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAC003","54959","TOP CYLINDER","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAC003
OEM Part #54959
TOP CYLINDER
2.13"" OD x 14.75"" lg. - Center hole to center hole (retracted)
Includes:
Cylinder
(3 pieces) Cable Tie (12"" Black) (RPI Part #RPT375)
Also available, Hydraulic Fluid ( RPI Part #RPF384 )
See Warning below
Fits: Table Back
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 12/27/2010","Cylinder
(3 pieces) Cable Tie (12"" Black) (RPI Part #RPT375)","http://www.rpiparts.com/pimages/HAC003.GIF","Notes: Warning: When attaching hydraulic hoses to the RPI cylinders, torque the hose fittings between 55 - 60 Inch Pounds only. Additional torque could damage the threads in these cylinders. When replacing hydraulic hoses, route hose exactly as the original was installed to avoid pinching, chaffing and premature wear. Remember to replace any removed clamp, cable ties and safety devices when installing new cylinders and hoses."
"HAC004","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAC004","54960","TABLE CYLINDER","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAC004
OEM Part #54960
TABLE CYLINDER
2.13"" OD x 19.12"" lg. - Center hole to center hole
Includes:
Cylinder
(3 pieces) Cable Tie (12"" Black) (RPI Part #RPT375)
Also available, Hydraulic Fluid ( RPI Part #RPF384 )
See Warning below
Fits: Table Base
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 12/27/2010","Cylinder
(3 pieces) Cable Tie (12"" Black) (RPI Part #RPT375)","http://www.rpiparts.com/pimages/HAC004.GIF","Notes: Warning: When attaching hydraulic hoses to the RPI cylinders, torque the hose fittings between 55 - 60 Inch Pounds only. Additional torque could damage the threads in these cylinders. When replacing hydraulic hoses, route hose exactly as the original was installed to avoid pinching, chaffing and premature wear. Remember to replace any removed clamp, cable ties and safety devices when installing new cylinders and hoses."
"HAG011","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAG011","(OEM Part # Not Available)","GROMMET","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAG011
OEM Part # (OEM Part # Not Available)
GROMMET
6 per package
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package","http://www.rpiparts.com/pimages/HAG011.GIF",""
"HAH005","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAH005","54962","HOSE ASSEMBLY (~85-1/2"")","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAH005
OEM Part #54962
HOSE ASSEMBLY (~85-1/2"")
Power side - bottom of cylinder
Fits: Cylinder
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 8/21/2006","Power side - bottom of cylinder","http://www.rpiparts.com/pimages/HAH005.GIF",""
"HAH006","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAH006","54961","HOSE ASSEMBLY (~97-1/2"")","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAH006
OEM Part #54961
HOSE ASSEMBLY (~97-1/2"")
Return side - top of cylinder
Fits: Cylinder
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 8/21/2006","Return side - top of cylinder","http://www.rpiparts.com/pimages/HAH006.GIF",""
"HAK016","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAK016","(OEM Part # Not Available)","CLEVIS KEY","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAK016
OEM Part # (OEM Part # Not Available)
CLEVIS KEY
4 per package
3/8"" dia. x 1-1/2"" lg.
Zinc plated
Fits: Clevis Pin Rod and Cylinder
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","4 per package
3/8"" dia. x 1-1/2"" lg.
Zinc plated","http://www.rpiparts.com/pimages/HAK016.GIF",""
"HAN013","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAN013","(OEM Part # Not Available)","LOCKNUT","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAN013
OEM Part # (OEM Part # Not Available)
LOCKNUT
6 per package
1/4-20
Stainless steel
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package
1/4-20
Stainless steel","http://www.rpiparts.com/pimages/HAN013.GIF",""
"HAN017","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAN017","(OEM Part # Not Available)","HEX NUT","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAN017
OEM Part # (OEM Part # Not Available)
HEX NUT
4 per package
8-32
Brass
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","4 per package
8-32
Brass","http://www.rpiparts.com/pimages/HAN017.GIF",""
"HAP014","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAP014","(OEM Part # Not Available)","CLEVIS PIN (ROD)","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAP014
OEM Part # (OEM Part # Not Available)
CLEVIS PIN (ROD)
2 per package
3/8"" dia. x 1-1/8"" lg.
Zinc plated
Fits: Cylinder
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","2 per package
3/8"" dia. x 1-1/8"" lg.
Zinc plated","http://www.rpiparts.com/pimages/HAP014.GIF",""
"HAP015","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAP015","(OEM Part # Not Available)","CLEVIS PIN (CYLINDER)","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAP015
OEM Part # (OEM Part # Not Available)
CLEVIS PIN (CYLINDER)
2 per package
3/8"" dia. x 1-5/8"" lg.
Fits: Cylinder
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","2 per package
3/8"" dia. x 1-5/8"" lg.","http://www.rpiparts.com/pimages/HAP015.GIF",""
"HAS010","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAS010","(OEM Part # Not Available)","SLEEVE","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAS010
OEM Part # (OEM Part # Not Available)
SLEEVE
6 per package
1/4"" ID x .438"" lg.
Fits: Grommet
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package
1/4"" ID x .438"" lg.","http://www.rpiparts.com/pimages/HAS010.GIF",""
"HAW012","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=HAW012","(OEM Part # Not Available)","WASHER","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #HAW012
OEM Part # (OEM Part # Not Available)
WASHER
6 per package
1/4"" Flat (CRS)
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package
1/4"" Flat (CRS)","http://www.rpiparts.com/pimages/HAW012.GIF",""
"LMP015","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=LMP015","48693","WARMER LAMP","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #LMP015
Old RPI Part #HAL007
OEM Part #48693
Industry Part #25T10
WARMER LAMP
120V, 25W
Base: Medium screw, prefocus
Fits: Instrument Warmer Drawer
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89, LAMPS & BULBS
Catalog Page(s): 8-200, 11-200
Part Description Updated: 8/21/2006","120V, 25W
Base: Medium screw, prefocus","http://www.rpiparts.com/pimages/LMP015.GIF",""
"MIC019","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=MIC019","015-0437-04/002-0044-00/015-0437-07","CAPACITOR","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #MIC019
OEM Part #015-0437-04/002-0044-00/015-0437-07
CAPACITOR
1.81"" dia. x 4.38"" lg.
Dual .25"" tabs
124-149 µf; 250VAC, 60 Hz.
See Notes below for Serial #'s this part fits.
Fits: Motor
Model(s) This Part Fits: 105, 106, 107, 111, 112, 113, 114, 115, 116, 117, 119, 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89, 305, 307, 311, 317, 318, 319, Evolution 75, Evolution 75 (-002); Serial#: DF, Evolution 75 (-003); Serial#: DF, Evolution 75 (-004); Serial#: EM, Evolution 75 (-005); Serial#: EN, Evolution 75 (-006); Serial#: DZ, Evolution 75 (-007); Serial#: EY, Evolution 75 (-008); Serial#: EZ, Evolution 75 (-015); Serial#: KK, Evolution 75 (-018);Serial#: KL
Catalog Page(s): 11-201, 11-305
Part Description Updated: 9/4/2015","1.81"" dia. x 4.38"" lg.
Dual .25"" tabs
124-149 µf; 250VAC, 60 Hz.
See Notes below for Serial #'s this part fits.","http://www.rpiparts.com/pimages/MIC019.GIF","Notes: CHECK SERIAL NUMBERS HERE:
Fits Model Evolution 75 (-002); Serial#: DF, Evolution 75 (-003); Serial#: DF, Evolution 75 (-004); Serial#: EM, Evolution 75 (-005); Serial#: EN, Evolution 75 (-006); Serial#: DZ, Evolution 75 (-007); Serial#: EY, Evolution 75 (-008); Serial#: EZ, Evolution 75 (-015); Serial#: KK, Evolution 75 (-018);Serial#: KL
Fits Model 105: From Serial #19053, G, H, CF, CG.
Fits Model 106: From Serial #37941 thru present and J1000 thru J1475.
Fits Model 111: From Serial #37420 thru K5009; BX.
Fits Models 107, 115, 116, 311, 317, 318 & 319: Fits All Serial #'s.
Fits Models 112, 113 & 114: No Serial # info available- visually check value before ordering.
Fits Model 117:From Serial # AJ1000 thru AJ3089, FE.
Fits Model 119:From Serial # AN1000 thru AN3026: BY, DF, EM, EY, HK.
Fits Model 305:From Serial # GW1000 thru GW1160; GX1000 thru GX1043; JJ1000 thru JJ1129; JK1000 thru JK1004.
Fits Model 307:From Serial # GY1000 thru GY1198; GZ1000 thru GZ1022; HA1000 thru HA1083; HC1000 thru HC1015; JL1000 thru JL1070; JM1000 thru JM1021.
Please see the Safety Data Sheet for this part. (Adobe PDF)"
"PCB134","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=PCB134","017985 / 117327","ELECTRICAL TERMINAL BUSHING","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #PCB134
OEM Part #017985 / 117327
ELECTRICAL TERMINAL BUSHING
3 per package
1/4"" Tabs
Mounting Hole: 11/16"" dia.
Mounts Thermal Fuse
Fits: Firewall / Switch Plate
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89, Majestic V-8080, OCM, OCR, Peri Pro, Peri Pro II, Peri Pro III, Regency V-8020, V-8000, Verniclave V-2000A, VR-816
Catalog Page(s): 4-604, 10-603, 10-604, 11-200, 10-1101, 10-1212, 10-1801, 10-702, 10-903
Part Description Updated: 1/17/2012","3 per package
1/4"" Tabs
Mounting Hole: 11/16"" dia.
Mounts Thermal Fuse","http://www.rpiparts.com/pimages/PCB134.GIF","Notes: Fits Model Peri Pro® Serial #20480 and above."
"PCN136","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=PCN136","004076","SPEEDNUT","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #PCN136
OEM Part #004076
SPEEDNUT
10 per package
""U"" type #10-24 thread and #10 Type A thread
Use to mount top cover to rear panel and side panels (M9 & M11)
See Notes below for models this part fits
Fits: Chassis
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89, 650, 660, 666x, 7, 777, 999 Series, All Porcelain Ovens, Delta 10"" (AF), Delta 8"" (AE), Delta Q10, Delta Q8, Delta XL10, Delta XL8, F, GN, M11, M11D, M7, M9, M9D, Magnaclave, Majestic V-8080, Mark II, Mark III, Mark IV, OCM, OCR, OCR+, Regency V-8020, Sentry, V-8000, Validator 10, Validator 8, Validator Plus 10, Validator Plus 8, Verniclave V-2000A, VR-816
Catalog Page(s): 4-900, 10-603, 10-604, 10-903, 10-1005, 10-1021, 10-1101, 10-1201, 10-1205, 10-1208, 10-1218, 10-1224, 10-1230, 10-1400, 10-1801, 11-200
Part Description Updated: 8/13/2014","10 per package
""U"" type #10-24 thread and #10 Type A thread
Use to mount top cover to rear panel and side panels (M9 & M11)
See Notes below for models this part fits","http://www.rpiparts.com/pimages/PCN136.GIF","Notes:
Midmark® • Ritter® Models This Part Fits:
M9-001 thru -019
M9-020 thru -022
M9D-001 thru -019
M9D-020 thru -022
M11-001 thru -019
M11-020 thru -022
M11D-001 thru -019
M11D-020 thru -022"
"RPO331","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3164&rpinum=RPO331","54963","O-RING","EXAM TABLES & CHAIRS
HAMILTON
2K191","RPI Part #RPO331
Old RPI Part #HAO008
OEM Part #54963
Industry Part #AS568-011
O-RING
6 per package
Material: Neoprene, Duro: 70
.301"" ID x .441"" OD x .070"" C/S
Fits: Cylinders
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200, 6-501, 6-502
Part Description Updated: 11/21/2011","6 per package
Material: Neoprene, Duro: 70
.301"" ID x .441"" OD x .070"" C/S","http://www.rpiparts.com/pimages/RPO331.GIF",""
"HAA001","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3159&rpinum=HAA001","(OEM Part # Not Available)","MOTOR AND PUMP ASSEMBLY","EXAM TABLES & CHAIRS
HAMILTON
2K60","RPI Part #HAA001
OEM Part # (OEM Part # Not Available)
MOTOR AND PUMP ASSEMBLY
Two Capacitors (RPI Part #MIC019) are required when replacing old style brush motor with this motor and pump assembly
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 6/25/2014","Two Capacitors (RPI Part #MIC019) are required when replacing old style brush motor with this motor and pump assembly","http://www.rpiparts.com/pimages/HAA001.GIF",""
"HAB009","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3159&rpinum=HAB009","(OEM Part # Not Available)","BOLT","EXAM TABLES & CHAIRS
HAMILTON
2K60","RPI Part #HAB009
OEM Part # (OEM Part # Not Available)
BOLT
6 per package
1/4-20 x 7/8"" lg.
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package
1/4-20 x 7/8"" lg.","http://www.rpiparts.com/pimages/HAB009.GIF",""
"HAC002","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3159&rpinum=HAC002","(OEM Part # Not Available)","REPLACED BY MIC019","EXAM TABLES & CHAIRS
HAMILTON
2K60","RPI Part #HAC002
OEM Part # (OEM Part # Not Available)
CAPACITOR
220-250 VAC, 124-149 µf
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 6/25/2014","220-250 VAC, 124-149 µf","http://www.rpiparts.com/pimages/HAC002.GIF",""
